year,data from source,predicted data
0,1961,751000000.0,885364077.875
1,1962,782000000.0,905024223.875
2,1963,780000000.0,918624590.875
3,1964,792000000.0,926766265.875
4,1965,833500000.0,930050339.375
15,1976,926000000.0,817484803.375
16,1977,954000000.0,809362580.375
17,1978,1001000000.0,804196909.375
18,1979,1060000000.0,802588881.375
19,1980,1053000000.0,805139583.375
20,1981,1078000000.0,812450104.875
21,1982,1072000000.0,825121534.375
22,1983,1064000000.0,843754961.875
23,1984,1089000000.0,868951475.375
24,1985,1115000000.0,901312163.375
25,1986,1145000000.0,941438115.875
26,1987,1214000000.0,989930421.375
27,1988,1232000000.0,1047390167.875
28,1989,1278000000.0,1114418445.375
29,1990,1332000000.0,1191616341.375
35,1996,1661000000.0,1902026703.375
36,1997,1706000000.0,2067242423.875
37,1998,1726000000.0,2247436474.875
38,1999,1785000000.0,2443209943.875
39,2000,1860000000.0,2655163921.875
40,2001,1900000000.0,2883899496.375
41,2002,1940000000.0,3130017756.875
42,2003,1920000000.0,3394119791.875
43,2004,1965000000.0,3676806690.375
44,2005,1990000000.0,3978679541.875
45,2006,1995000000.0,4300339433.875
46,2007,2005000000.0,4642387455.875
47,2008,9009300000.0,5005424696.875
48,2009,8550200000.0,5390052245.875
49,2010,8623600000.0,5796871191.875
50,2011,8607600000.0,6226482622.875
51,2012,8463000000.0,6679487628.375
52,2013,8533800000.0,7156487297.875
53,2014,8545000000.0,7658082718.875
58,2019,9177200000.0,10556034217.875
59,2020,9222100000.0,11217827017.875
