year,data from source,predicted data
8,1948,7966500.0,8853334.216766357
9,1949,7801100.0,9011101.087036133
10,1950,7600600.0,9166097.44265747
11,1951,7956000.0,9318301.230117798
33,1973,13481000.0,11915628.586761475
34,1974,14278000.0,11997516.548690796
35,1975,14048000.0,12076082.659133911
44,1984,11329500.0,12630055.514282227
45,1985,10955800.0,12674190.16911316
46,1986,10666600.0,12714760.384262085
47,1987,10756200.0,12751744.106307983
48,1988,10984400.0,12785119.28175354
49,1989,11220400.0,12814863.8571167
50,1990,11288800.0,12840955.778930664
63,2003,14555000.0,12837724.960449219
64,2004,14925000.0,12810364.118133545
65,2005,14655000.0,12779019.82019043
