year,species,population,source
2001,Cattle,153057217,census
2001,Pigs,27811244,census
2001,Sheep,1395455,census
2001,Goats,6590646,census
2001,Buffalos,834922,census
2001,Horses,5565697,census
2001,Mules,27811244,census
2001,Asses,1105796,census
2001,Chickens,718535000,census
2001,Ducks and Geese,4593000,census
2001,Turkeys,6774000,census
2001,Rabbits,284936,census
2001,Quail,5494000,census
2006,Cattle,176000000,census
2006,Buffalos,885119,census
2006,Sheep,14167504,census
2006,Goats,7107613,census
2006,Pigs,31189351,census
2006,Equines,5947076,census
2006,Horses,4541833,census
2006,Mules,750529,census
2006,Asses,654714,census
2006,Poultry,1174118000,census
2006,Chickens,1143456000,census
2006,Rabbits,294584,census
