year,species,population,source
1997,Cattle,4098438,Census
1997,Pigs,1716881,Census
1997,Sheep,3695062,Census
1997,Goats,727310,Census
1997,Horses,408186,Census
1997,Mules,8659,Census
1997,Asses,22213,Census
1997,Chickens,39247593,Census
1997,Ducks,309628,Census
1997,Geese,358965,Census
1997,Turkeys,1777906,Census
1997,Alpacas,45244,Census
1997,Llamas,79294,Census
2006,Cattle,3718532,Census
2006,Sheep,3888485,Census
2006,Goats,705527,Census
2006,Pigs,2928606,Census
2006,Horses,304252,Census
2006,Mules,6667,Census
2006,Asses,15061,Census
2006,Llamas,48989,Census
2006,Alpacas,26147,Census
2006,Rabbits,43630,Census
2006,Boar,4005,Census
2006,Deer,5827,Census
