year,species,population,source
2000,Cattle,4207733,Census
2000,Buffaloes,4052205,Census
2000,Sheep,2748904,Census
2000,Goats,1476424,Census
2000,Camels,162730,Census
2000,Horses,48507,Census
2000,Asses,2991159,Census
2000,Mules,16436,Census
2000,Pigs,24,Census
2000,Chickens,62040389,Census
2000,Rabbits,9349663,Census
2009,Cattle,9864767,Census
2009,Buffaloes,4335817,Census
2009,Cattle,5528950,Census
2009,Sheep,8715424,Census
2009,Goats,6651915,Census
2009,Horses,84853,Census
2009,Mules,28096,Census
2009,Asses,3029378,Census
2009,Camels,153801,Census
2009,Poultry,124504000,Census
2009,Chickens,68447000,Census
2009,Pigeons,9646000,Census
2009,Geese and Ducks,41144000,Census
2009,Turkeys,5267000,Census
2009,Rabbits,9646485,Census
2009,Bees,1112652,Census
