year,species,population,source
2001,Cattle,95497994,census
2001,Pigs,60405103,census
2001,Sheep,6341799,census
2001,Goats,2530466,census
2001,Horses,3644278,census
2001,Chickens,1732714202,census
2001,Turkeys,93028191,census
2012,Cattle,89994614,census
2012,Sheep,5364844,census
2012,Goats,2621514,census
2012,Pigs,66026785,census
2012,Horses,3621348,census
2012,Mules/Asses,292590,census
2012,Llamas,76086,census
2012,Alpacas,140601,census
2012,Layers,350716000,census
2012,Broilers,1506277000,census
2012,Pullets,110297000,census
2012,Ducks,5019000,census
2012,Geese,106000,census
2012,Turkeys,100792000,census
2012,Deer,231431,census
2012,Mink,953321,census
2012,Rabbits,400049,census
2012,Elk,38061,census
2012,Bees,3282570,census
