species,year,population,source
Cattle,2011,6836064,Instituto Nacional de Estadísticas
Cattle,2012,7444711,Instituto Nacional de Estadísticas
Cattle,2013,6938531,Instituto Nacional de Estadísticas
Cattle,2014,6755799,Instituto Nacional de Estadísticas
Cattle,2015,6727482,Instituto Nacional de Estadísticas
Cattle,2016,6529917,Instituto Nacional de Estadísticas
Cattle,2017,6546253,Instituto Nacional de Estadísticas
Cattle,2018,6622228,Instituto Nacional de Estadísticas
Cattle,2019,6931259,Instituto Nacional de Estadísticas
Cattle,2020,6944380,Instituto Nacional de Estadísticas
