year,species,population,source,
1980,Cattle,111200000,US Census Bureau,
1985,Cattle,109600000,US Census Bureau,
1990,Cattle,95800000,US Census Bureau,
1991,Cattle,96400000,US Census Bureau,
1992,Cattle,97600000,US Census Bureau,
1993,Cattle,99200000,US Census Bureau,
1994,Cattle,101000000,US Census Bureau,
1995,Cattle,102755000,US Census Bureau,
1996,Cattle,103487200,US Census Bureau,
1997,Cattle,101700000,US Census Bureau,
1998,Cattle,99700000,US Census Bureau,
1999,Cattle,99100000,US Census Bureau,
2000,Cattle,98200000,US Census Bureau,
2001,Cattle,97300000,US Census Bureau,
2002,Cattle,96700000,US Census Bureau,
2003,Cattle,96100000,US Census Bureau,
2004,Cattle,94900000,US Census Bureau,
2005,Cattle,95400000,US Census Bureau,
2006,Cattle,96700000,US Census Bureau,
2007,Cattle,97000000,US Census Bureau,
1980,Pigs,67300000,US Census Bureau,
1985,Pigs,54100000,US Census Bureau,
1990,Pigs,53800000,US Census Bureau,
1991,Pigs,54400000,US Census Bureau,
1992,Pigs,57600000,US Census Bureau,
1993,Pigs,58200000,US Census Bureau,
1994,Pigs,57900000,US Census Bureau,
1995,Pigs,59700000,US Census Bureau,
1996,Pigs,58200000,US Census Bureau,
1997,Pigs,56140500,US Census Bureau,
1998,Pigs,61200000,US Census Bureau,
1999,Pigs,62200000,US Census Bureau,
2000,Pigs,59300000,US Census Bureau,
2001,Pigs,59100000,US Census Bureau,
2002,Pigs,59700000,US Census Bureau,
2003,Pigs,59600000,US Census Bureau,
2004,Pigs,60400000,US Census Bureau,
2005,Pigs,61000000,US Census Bureau,
2006,Pigs,61400000,US Census Bureau,
2007,Pigs,62100000,US Census Bureau,
1980,Sheep,12700000,US Census Bureau,
1985,Sheep,10700000,US Census Bureau,
1990,Sheep,11400000,US Census Bureau,
1991,Sheep,11200000,US Census Bureau,
1992,Sheep,10800000,US Census Bureau,
1993,Sheep,10200000,US Census Bureau,
1994,Sheep,9800000,US Census Bureau,
1995,Sheep,8989000,US Census Bureau,
1996,Sheep,8461100,US Census Bureau,
1997,Sheep,8000000,US Census Bureau,
1998,Sheep,7800000,US Census Bureau,
1999,Sheep,7247000,US Census Bureau,
2000,Sheep,7036000,US Census Bureau,
2001,Sheep,6908000,US Census Bureau,
2002,Sheep,6623000,US Census Bureau,
2003,Sheep,6321000,US Census Bureau,
2004,Sheep,6100000,US Census Bureau,
2005,Sheep,6135000,US Census Bureau,
2006,Sheep,6200000,US Census Bureau,
2007,Sheep,6200000,US Census Bureau,
